,sentence,words,labels
0,পুরোহিত মন্ত্র পড়ে প্রিয়ন্তীকে শাঁখা সিঁদুর পরিয়ে দিয়ে বিয়ের কাজ সমাপ্ত করল।,পুরোহিত,B-PER
1,পুরোহিত মন্ত্র পড়ে প্রিয়ন্তীকে শাঁখা সিঁদুর পরিয়ে দিয়ে বিয়ের কাজ সমাপ্ত করল।,মন্ত্র,OTHERS
2,পুরোহিত মন্ত্র পড়ে প্রিয়ন্তীকে শাঁখা সিঁদুর পরিয়ে দিয়ে বিয়ের কাজ সমাপ্ত করল।,পড়ে,OTHERS
3,পুরোহিত মন্ত্র পড়ে প্রিয়ন্তীকে শাঁখা সিঁদুর পরিয়ে দিয়ে বিয়ের কাজ সমাপ্ত করল।,প্রিয়ন্তীকে,B-PER
4,পুরোহিত মন্ত্র পড়ে প্রিয়ন্তীকে শাঁখা সিঁদুর পরিয়ে দিয়ে বিয়ের কাজ সমাপ্ত করল।,শাঁখা,OBJECT
5,পুরোহিত মন্ত্র পড়ে প্রিয়ন্তীকে শাঁখা সিঁদুর পরিয়ে দিয়ে বিয়ের কাজ সমাপ্ত করল।,সিঁদুর,OBJECT
6,পুরোহিত মন্ত্র পড়ে প্রিয়ন্তীকে শাঁখা সিঁদুর পরিয়ে দিয়ে বিয়ের কাজ সমাপ্ত করল।,পরিয়ে,OTHERS
7,পুরোহিত মন্ত্র পড়ে প্রিয়ন্তীকে শাঁখা সিঁদুর পরিয়ে দিয়ে বিয়ের কাজ সমাপ্ত করল।,দিয়ে,OTHERS
8,পুরোহিত মন্ত্র পড়ে প্রিয়ন্তীকে শাঁখা সিঁদুর পরিয়ে দিয়ে বিয়ের কাজ সমাপ্ত করল।,বিয়ের,OTHERS
9,পুরোহিত মন্ত্র পড়ে প্রিয়ন্তীকে শাঁখা সিঁদুর পরিয়ে দিয়ে বিয়ের কাজ সমাপ্ত করল।,কাজ,OTHERS
10,পুরোহিত মন্ত্র পড়ে প্রিয়ন্তীকে শাঁখা সিঁদুর পরিয়ে দিয়ে বিয়ের কাজ সমাপ্ত করল।,সমাপ্ত,OTHERS
11,পুরোহিত মন্ত্র পড়ে প্রিয়ন্তীকে শাঁখা সিঁদুর পরিয়ে দিয়ে বিয়ের কাজ সমাপ্ত করল।,করল,OTHERS
12,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,বিগত,TIME
13,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,দু,TIME
14,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,দশকে,TIME
